@relation Tweets

@attribute Class {negative,positive}
@attribute Text STRING

@data
negative,'oh_UH no_UH she_PRP did_VBD n\'t_RB bgv_NN rt_NN USER_NNP i_FW ca_MD n\'t_RB wait_VB to_TO make_VB USER_NNP lassyy_RB listen_VBP to_TO two_CD hours_NNS of_IN taylor_NN swift_JJ during_IN our_PRP$ drive_NN tomorrow_NN'
positive,'premier_NN league_NN west_NN ham_NN v_NN man_NN city_NN on_IN saturday_NN our_PRP$ preview_NN looks_VBZ at_IN the_DT stats_NNS has_VBZ some_DT interesting_JJ betting_VBG tips_NNS URL_.'
positive,'there_EX is_VBZ on_IN thing_NN i_PRP have_VBP learned_VBN from_IN the_DT mlb_NN playoffs_NNS cougar_NN town_NN on_IN a_DT new_JJ network_NN i_NN ca_MD n\'t_RB wait_VB till_IN january_JJ poundinggrape_NN pennycan_VBN'
positive,'USER_NNP halloween_IN good_JJ and_CC who_WP is_VBZ the_DT 3rd_JJ valentine_NN \'s_POS day_NN or_CC'
negative,'ghost_NN rider_NN spirit_NN of_IN vengeance_NN was_VBD a_DT lost_VBN cause_NN you_PRP had_VBD nowhere_RB to_TO go_VB but_CC up_RB after_IN the_DT 1st_JJ movie_NN and_CC then_RB you_PRP decided_VBD to_TO dig_VB a_DT hole_NN'
negative,'fuck_VB u_PRP USER_.'
negative,'obviously_RB i_PRP am_VBP not_RB a_DT fan_NN of_IN dream_NN high_JJ 2_CD and_CC i_RB have_VBP n\'t_RB even_RB watched_VBN it_PRP well_RB i_IN watched_VBN the_DT 1st_JJ ep_NN that_DT \'s_VBZ where_WRB i_PRP heard_VBD that_IN song_NN'
negative,'google_JJ apps_NNS vs_IN microsoft_JJ office_NN 365_IN it_PRP is_VBZ clear_JJ that_IN google_JJ apps_NNS should_MD be_VB the_DT top_JJ choice_NN URL_.'
negative,'samsung_JJ google_NN unveil_VB phone_NN URL_.'
negative,'had_VBD ma_NN ipas_NNS not_RB 24_CD hours_NNS an_DT i_NN jailbroke_NN it_PRP now_RB its_PRP$ shagged_JJ itunes_NNS wo_MD n\'t_RB letme_VB restore_VB it_PRP USER_NNP sym_NN'
positive,'i_PRP \'m_VBP starting_VBG to_TO get_VB really_RB concerned_VBN sending_VBG hashtags_VBZ in_IN emails_NNS p_NN twitter_NN is_VBZ taking_VBG over_RP our_PRP$ lives_NNS d_CC'
negative,'being_VBG in_IN amsterdam_NN this_DT early_RB on_IN a_DT friday_NN morning_NN is_VBZ not_RB my_PRP$ ideal_JJ i_NN just_RB want_VBP to_TO get_VB home_NN'
positive,'good_JJ to_TO see_VB flacco_NN showing_VBG some_DT fight_NN in_IN the_DT 2nd_NNP half_NN that_WDT \'s_VBZ about_IN all_DT i_FW can_MD ask_VB for_IN at_IN this_DT point_NN'
negative,'this_DT may_MD be_VB a_DT reason_NN to_TO swap_VB ios_NNS has_VBZ too_RB many_JJ daft_JJ games_NNS android_CC is_VBZ a_DT desolate_JJ wasteland_NN when_WRB it_PRP comes_VBZ to_TO games_NNS URL_.'
positive,'i_FW played_VBD rugby_NN yesterday_NN may_MD have_VB broken_VBN my_PRP$ finger_NN but_CC it_PRP was_VBD definitely_RB worth_IN the_DT pain_NN the_DT game_NN is_VBZ more_JJR fun_NN than_IN i_PRP remember_VBP'
negative,'USER_NNP listed_VBN as_IN star_NN attraction_NN for_IN aust_JJ china_NN event_NN today_NN rudd_NN \'s_POS office_NN say_VBP he_PRP never_RB committed_VBD pr_NN in_IN charge_NN says_VBZ he_PRP cancelled_VBD friday_NN'
negative,'apple_NN ceo_NN apologizes_VBZ for_IN error_NN ridden_JJ new_JJ map_NN app_RP apple_NN ceo_NN tim_NN cook_NN apologized_VBD friday_NN for_IN the_DT company_NN \'s_POS error_NN ridden_JJ new_JJ mobile_JJ map_NN'
negative,'this_DT rt_NN USER_NNP looks_VBZ like_IN USER_NNP did_VBD not_RB appropriately_RB project_VB the_DT resources_NNS needed_VBN for_IN siri_NN not_RB very_RB reliable_JJ'
negative,'ghost_NN rider_NN 2_CD is_VBZ pretty_RB shit_VB i_PRP liked_VBD the_DT 1st_JJ one_CD in_IN all_DT honesty_NN but_CC the_DT 2nd_NNP is_VBZ badly_RB directed_VBN the_DT shaky_JJ camera_NN style_NN is_VBZ disorientating_VBG'
negative,'USER_NNP u_NNP guys_NNS are_VBP gay_JJ'
negative,'USER_NNP c_NNS \'mon_JJ leo_NN where_WRB \'s_POS endymion_NN or_CC amsterdam_NN i_IN know_VB he_PRP likes_VBZ amsterdam_IN those_DT songs_NNS are_VBP shit_NN compared_VBN to_TO the_DT ones_NNS i_RB put_VBP'
positive,'USER_NNP siri_NN is_VBZ amazing_JJ'
negative,'is_VBZ this_DT cif_JJ piece_NN meant_VBD to_TO be_VB funny_JJ i_IN mean_JJ other_JJ than_IN in_IN the_DT unintentional_JJ sense_NN of_IN being_VBG ironically_RB humourless_JJ URL_.'
negative,'after_IN i_PRP tweeted_VBD about_IN USER_NNP gary_JJ carter_NN photo_NN facepalm_NN they_PRP removed_VBD the_DT mets_NNS photo_NN 2nd_CD choice_NN almost_RB as_IN bad_JJ kid_NN holding_VBG mets_NNS cap_NN'
positive,'twitition_NN mcfly_RB come_VB back_RB to_TO argentina_NN but_CC this_DT time_NN we_PRP want_VBP to_TO come_VB to_TO mar_VB del_DT plata_NN URL_.'
positive,'“USER_NN \'no_VBP red_JJ tape_NN \'_\'\' new_JJ jersey_NN turns_VBZ away_RB nonunion_RB relief_NN crews_NNS URL_JJ via_IN USER_NNP USER_NNP hmmm_.'
negative,'good_JJ evening_NN everyone_NN all_DT cost_NN and_CC warm_JJ here_RB and_CC pork_NN chops_NNS in_IN the_DT oven_NN wlf_NN'
negative,'this_DT is_VBZ kind_NN of_IN really_RB creepy_JJ use_NN your_PRP$ search_NN engine_NN the_DT same_JJ way_NN as_IN USER_NNP would_MD URL_RB microsoft_VB'
negative,'USER_NNP cu_NN'
positive,'just_RB whooped_VBD some_DT ass_NN in_IN kill_NN confirmed_VBD with_IN USER_NNP and_CC USER_NNP tomorrow_NN its_PRP$ back_NN to_TO makin_VBG kats_NNS cry_VB in_IN gears3_NN'
positive,'yay_NN bruno_NN mars_NNS is_VBZ coming_VBG out_RP with_IN a_DT new_JJ album_NN on_IN december_NN 11th_JJ i_NN must_MD have_VB it_PRP'
positive,'sat_VBD at_IN work_NN and_CC i_NN have_VBP the_DT will_NN ferrell_JJ boxset_NN with_IN me_PRP might_MD put_VB a_DT film_NN on_IN or_CC have_VB a_DT power_NN nap_NN or_CC sit_VB here_RB doing_VBG nothing_NN that_WDT sounds_VBZ good_JJ'
negative,'rt_NN USER_NNP warning_NN if_IN iphone_NN apps_NNS spontaneously_RB loose_JJ data_NNS it_PRP might_MD not_RB be_VB the_DT app_NN \'s_POS fault_NN URL_NNP ios5downgrade_.'
positive,'kinect_NN makes_VBZ learning_VBG playful_NN with_IN help_NN from_IN sesamestreet_NN and_CC nationalgeographic_JJ education_NN microsoft_JJ URL_NN'
negative,'USER_NNP thank_VB you_PRP for_IN sucking_VBG so_RB much_JJ i_IN cannot_PRP believe_VBP you_PRP would_MD sell_VB something_NN online_IN that_DT is_VBZ n\'t_RB made_VBN'
negative,'wilth_NN accessibility_NN mode_NN on_IN in_IN sharepoint_NN 2010_CD it_PRP seems_VBZ that_IN workflows_NNS sometimes_RB do_VBP not_RB start_VB automatically_RB sp2010_CD workflow_NN microsoft_JJ'
positive,'ipads_NNS replace_VBP bound_VBN playbooks_NNS on_IN some_DT n_NN f_NN l_JJ teams_NNS URL_IN USER_NNP USER_NNP'
positive,'come_VBN to_TO the_DT dark_JJ side_NN 📱“USER_NNP hey_PRP USER_NNP if_IN you_PRP send_VBP me_PRP a_DT free_JJ iphone_NN i_RB will_MD publicly_RB and_CC ceremoniously_RB burn_VBP my_PRP$ blackberry_NN ”_.'
negative,'USER_NNP USER_NNP so_RB in_IN itunes_NNS i_IN go_JJ store_NN gt_NN authorise…_NNS why_WRB does_VBZ n\'t_RB it_PRP just_RB auto_NN authorise_NN it_PRP when_WRB i_FW sign_NN into_IN itunes_NNS grrrr_.'
positive,'lady_NN boner_NN from_IN channing_VBG tatum_NN in_IN the_DT vow_NN right_RB now_RB and_CC the_DT fact_NN that_IN i_PRP get_VBP mcdonald_NN \'s_POS breakfast_NN tomorrow_NN with_IN USER_NNP winning_VBG'
positive,'welcome_JJ nick_NN j_NN USER_NNP in_IN manila_NN so_RB excited_VBN for_IN the_DT show_NN on_IN friday_NN'
positive,'saturday_NN \'s_POS ufc_NN on_IN fuel_NN tv_NN looks_VBZ a_DT lot_RB better_JJR than_IN the_DT scheduled_VBN undercard_NN of_IN ufc_NNP 151_CD no_DT surprise_NN 151_CD got_VBD cancelled_VBN URL_.'
negative,'USER_NN he_PRP can_MD send_VB but_CC not_RB rcve_JJ txts_NNS so_IN he_PRP has_VBZ an_DT apt_JJ USER_NN at_IN 4pm_PRP then_RB he_PRP exclaims_VBZ and_CC i_VBZ waited_VBD a_DT whole_JJ year_NN for_IN this_DT phone_NN lmao_NN'
positive,'met_VBN USER_NNP via_IN google_JJ hangout_NN on_IN wednesday_PRP so_RB cool_JJ to_TO meet_VB someone_NN that_IN you_PRP \'ve_VBP actually_RB cited_VBN in_IN paper_NN'
positive,'loving_VBG ios5_DT awesome_JJ USER_NN'
positive,'uh_UH football_NN boys_NNS win_VBP tomorrow_NN so_IN we_PRP can_MD run_VB it_PRP in_IN becky_NN \'s_POS face_NN that_IN she_PRP was_VBD n\'t_RB there_RB'
positive,'november_NN my_PRP$ birthday_NN month_NN election_NN day_NN a_DT weekend_NN in_IN san_JJ fran_NN with_IN USER_NNP naples_NNS for_IN thanksgiving_DT lots_NNS of_IN friends_NNS family_NN yes_RB'
positive,'finally_RB in_IN bed_NN such_JJ a_DT long_JJ day_NN but_CC so_RB much_RB was_VBD accomplished_VBN athens_NNS tomorrow_NN'
positive,'USER_NNP ceo_NN points_NNS to_TO USER_NNP as_IN \'corporate_JJ mentor_NN \'_\'\' as_IN USER_NNP signups_NNS triple_JJ URL_.'
positive,'paper_NN finished_VBD cma_NN \'s_POS over_IN blake_NN and_CC miranda_NN dominated_VBD accounting_NN hw_NN got_VBD pushed_VBN to_TO wednesday_VB going_VBG to_TO bed_VB happy_JJ'
positive,'one_CD ticket_NN left_VBD for_IN the_DT USER_NNP game_NN tomorrow_NN do_VBP n\'t_RB miss_VB the_DT rematch_NN of_IN the_DT nfc_JJ championship_NN game_NN against_IN the_DT ny_NN giants_NNS hit_VBD me_PRP up_IN'
positive,'nothing_NN like_IN watching_VBG the_DT vow_NN on_IN a_DT friday_JJ night_NN cheers_NNS to_TO cancelled_JJ plans_NNS and_CC sickness_NN'
negative,'pissed_VBN with_IN whoever_WP designs_VBZ keyboards_NNS with_IN USER_NNP for_IN not_RB having_VBG a_DT home_NN and_CC end_VB key_JJ working_VBG on_IN the_DT cli_NNS i_VBP use_VB those_DT keys_NNS often_RB'
positive,'love_NN ios5_IN easter_JJ eggs_NNS pull_VB down_RP from_IN middle_JJ top_NN to_TO bottom_NN and_CC see_VB what_WP pulls_VBZ down_RP awesome_JJ little_JJ feature_NN USER_NNP lovemyiphone_NN'
negative,'if_IN you_PRP are_VBP a_DT family_NN member_NN friend_NN or_CC fan_NN of_IN austin_NN rivers_NNS you_PRP may_MD want_VB to_TO unfollow_VB me_PRP this_DT is_VBZ about_IN to_TO get_VB ugly_JJ'
positive,'safe_JJ and_CC sound_JJ on_IN 57th_JJ and_CC 11th_JJ hoping_VBG that_IN they_PRP clean_VB up_RP sandy_JJ quickly_RB for_IN those_DT that_WDT were_VBD in_IN her_PRP$ path_NN love_NN you_PRP all_PDT'
positive,'goodnight_JJ bots_NNS tomorrow_RB remember_VBP 106_CD park_NN mobo_NN twitter_IN chat_NN and_CC david_JJ letterman_NN with_IN USER_NNP good_JJ day_NN for_IN the_DT bots_NNS'
negative,'microsoft_JJ update_NN is_VBZ so_RB slow_JJ URL_.'
negative,'thursday_RB just_RB are_VBP n\'t_RB as_RB exciting_JJ now_RB waterloo_NN road_NN has_VBZ stopped_VBN'
positive,'mad_JJ props_NNS to_TO the_DT USER_NNP employee_NN that_WDT did_VBD n\'t_RB charge_VB me_PRP to_TO replace_VB the_DT back_NN plate_NN on_IN my_PRP$ iphone_NN made_VBD my_PRP$ day_NN'
positive,'daniels_NNS good_JJ humored_VBN on_IN comedy_NN show_NN indiana_NN gov_NN mitch_NN daniels_NNS was_VBD a_DT good_JJ sport_NN thursday_RB when_WRB he_PRP appeared_VBD on_IN t_NN URL_.'
positive,'now_RB all_DT USER_NNP has_VBZ to_TO do_VB is_VBZ get_VB swype_NN on_IN the_DT iphone_NN and_CC it_PRP will_MD be_VB crack_JJ iphone_NN that_WDT is_VBZ'
negative,'rt_NN USER_NNP if_IN USER_NNP does_VBZ n\'t_RB fix_VB ios5_IN this_DT week_NN i_PRP \'m_VBP buying_VBG a_DT droid_NN emptythreats_NNS'
negative,'USER_NN you_PRP can_MD suck_VB it_PRP you_PRP and_CC your_PRP$ fucking_JJ iphones_NNS better_RB be_VB glad_JJ it_PRP \'s_VBZ all_DT i_FW like_IN cause_VB the_DT service_NN is_VBZ fucking_VBG terrible_JJ'
positive,'eric_JJ arc_NN elliott_NN may_MD be_VB the_DT best_JJS rapper_NN in_IN flatbush_NN zombies_NNS'
negative,'giants_NNS 3rd_VBD round_RB pick_VB failed_VBN drug_NN test_NN at_IN nfl_JJ combine_NN jayron_NN holsey_NN knew_VBD it_PRP would_MD hurt_VB him_PRP bec_IN URL_NNP newyork_VBP sports_NNS'
negative,'apple_NN ca_MD n\'t_RB innovate_VB or_CC manage_VB supply_NN chain_NN cupertino_NN ca_MD october_VB 04_CD apple_NN ceo_NN tim_NN cook_NN speaks_VBZ at_IN the_DT event_NN introducing_VBG the_DT new_JJ i_NN'
negative,'ohh_IN i_PRP thought_VBD you_PRP said_VBD im_PRP who_WP you_PRP want_VBP 5th_JJ textUSER_NN bro_NN USER_NNP USER_NNP it_PRP \'s_VBZ just_RB twitter_VB why_WRB you_PRP lurking_VBG 4th_JJ tweet_NN'
positive,'patrick_NN roy_NN \'s_POS last_JJ game_NN as_IN a_DT canadien_NN is_VBZ one_CD of_IN the_DT selections_NNS for_IN this_DT weekend_NN \'s_POS hnic_JJ rewind_NN'
positive,'ice_NN cream_NN sandwich_NN u_IN r_NN really_RB delicious_JJ can_MD ditch_NN iphone_NN for_IN u_NNP that_WDT \'s_VBZ for_IN sure_JJ google_NN launches_VBZ android4_DT aka_NN icecreamsandwich_WDT'
negative,'protest_NN against_IN the_DT mitch_NN daniels_NNS purdue_JJ presidential_JJ nomination_NN tomorrow_NN USER_NNP theater_NN 2_CD 30_CD pm_NN bring_VBP a_DT friend_NN soapurdue_NN'
positive,'wow_NN great_JJ deals_NNS on_IN refurbed_JJ ipad_NN first_JJ gen_NN models_NNS rt_VBP apple_NN offers_VBZ great_JJ deals_NNS on_IN refurbished_JJ 1st_JJ gen_NN ipads_VBZ URL_NNP USER_NNP'
negative,'i_PRP wish_VB the_DT apple_NN updater_NN would_MD stop_VB trying_VBG to_TO ram_VB itunes_NNS down_IN my_PRP$ throat_NN i_PRP do_VBP n\'t_RB own_VB a_DT pissing_NN iphone_NN USER_.'
positive,'microsoft_JJ explains_VBZ new_JJ improvements_NNS in_IN windows_NNS 8_CD start_NN screen_NN search_NN URL_NNP buildingwindows8_CC USER_NNP tech_NN microsoft_.'
negative,'why_WRB is_VBZ google_JJ whoring_NN for_IN samsung_JJ ics_NNS'
positive,'another_DT beauty_NN of_IN a_DT day_NN in_IN athens_NNS greece_NN i_IN trust_NN you_PRP \'ll_MD have_VB an_DT exceptional_JJ friday_NN wherever_WRB in_IN the_DT world_NN you_PRP are_VBP much_JJ love_NN'
negative,'rt_NN USER_NNP koers_VBZ google_JJ apps_NNS vs_IN microsoft_JJ office_NN 365_IN it_PRP is_VBZ clear_JJ that_IN google_JJ apps_NNS should_MD be_VB the_DT top_JJ choice_NN URL_NN in_IN'
positive,'come_VBN out_RB and_CC have_VB some_DT laughs_NNS with_IN me_PRP spartacus_JJ and_CC max_NN at_IN caroline_NN \'s_POS comedy_NN club_NN this_DT wednesday_JJ october_JJ 24th_JJ URL_NN'
positive,'just_RB seen_VBN a_DT taste_NN of_IN google_NN \'s_POS ice_NN cream_NN sandwich_NN now_RB i_VBZ want_VBP a_DT bite_NN'
negative,'damn_VB you_PRP USER_.'
positive,'soul_NN train_NN oct_NN 27_CD halloween_IN special_JJ ft_NN t_NN dot_VBP finest_JJS rocking_VBG the_DT mic_JJ crazy_JJ cactus_NN night_NN club_NN adv_NN ticket_NN 10_CD wt_NN out_IN costume_NN 15_CD'
positive,'mmmm_NN ice_NN cream_NN sandwich_NN android_CC google_NN'
positive,'USER_NNP i_FW hope_NN they_PRP make_VBP sure_JJ to_TO take_VB care_NN of_IN eli_NNS manning_VBG giants_NNS vs_IN pittsburgh_NN on_IN sunday_NN nfl_NN'
negative,'microsoft_JJ outlook_NN 2011_CD for_IN mac_NN sucks_VBZ …_JJ hate_NN'
negative,'the_DT glass_NN may_MD be_VB rising_VBG but_CC it_PRP \'s_VBZ not_RB getting_VBG any_DT warmer_NN here_RB lago_RB del_DT desierto_NN argentina_NN URL_.'
negative,'rt_NN USER_NNP face_NN unlock_NN ics_NNS literally_RB knows_VBZ your_PRP$ face_NN google_NN galaxynexus_NN failed_VBN'
negative,'USER_NNP all_DT inmates_NNS settled_VBN for_IN the_DT night_NN warden_NN emotionally_RB drained_VBD needs_NNS big_JJ hug_NN and_CC tucking_NN in_IN for_IN the_DT night_NN'
negative,'USER_NN we_PRP dont_VBP care_NN about_IN carling_VBG cup_NN save_IN it_PRP for_IN looserpool_NN yeah_NN we_PRP lose_VBP also_RB i_VBN wont_NN be_VB crying_VBG all_DT night_NN long_RB on_IN wednesday_PRP night_NN'
negative,'nokia_NN employees_NNS still_RB worried_VBN that_IN elop_NN is_VBZ a_DT microsoft_JJ mole_NN URL_IN microsoft_JJ windows_NNS'
negative,'ruby_NN ca_MD n\'t_RB even_RB take_VB me_PRP to_TO breakfast_NN tomorrow_NN he_PRP dropped_VBD harold_VBN washington_IN'
